"","Measure","Part","setosa","versicolor","virginica"
"1","Length","Petal",1.4,4.7,6
"2","Length","Petal",1.4,4.5,5.1
"3","Length","Petal",1.3,4.9,5.9
"4","Length","Petal",1.5,4,5.6
"5","Length","Petal",1.4,4.6,5.8
"6","Length","Petal",1.7,4.5,6.6
"7","Length","Petal",1.4,4.7,4.5
"8","Length","Petal",1.5,3.3,6.3
"9","Length","Petal",1.4,4.6,5.8
"10","Length","Petal",1.5,3.9,6.1
"11","Length","Petal",1.5,3.5,5.1
"12","Length","Petal",1.6,4.2,5.3
"13","Length","Petal",1.4,4,5.5
"14","Length","Petal",1.1,4.7,5
"15","Length","Petal",1.2,3.6,5.1
"16","Length","Petal",1.5,4.4,5.3
"17","Length","Petal",1.3,4.5,5.5
"18","Length","Petal",1.4,4.1,6.7
"19","Length","Petal",1.7,4.5,6.9
"20","Length","Petal",1.5,3.9,5
"21","Length","Petal",1.7,4.8,5.7
"22","Length","Petal",1.5,4,4.9
"23","Length","Petal",1,4.9,6.7
"24","Length","Petal",1.7,4.7,4.9
"25","Length","Petal",1.9,4.3,5.7
"26","Length","Petal",1.6,4.4,6
"27","Length","Petal",1.6,4.8,4.8
"28","Length","Petal",1.5,5,4.9
"29","Length","Petal",1.4,4.5,5.6
"30","Length","Petal",1.6,3.5,5.8
"31","Length","Petal",1.6,3.8,6.1
"32","Length","Petal",1.5,3.7,6.4
"33","Length","Petal",1.5,3.9,5.6
"34","Length","Petal",1.4,5.1,5.1
"35","Length","Petal",1.5,4.5,5.6
"36","Length","Petal",1.2,4.5,6.1
"37","Length","Petal",1.3,4.7,5.6
"38","Length","Petal",1.4,4.4,5.5
"39","Length","Petal",1.3,4.1,4.8
"40","Length","Petal",1.5,4,5.4
"41","Length","Petal",1.3,4.4,5.6
"42","Length","Petal",1.3,4.6,5.1
"43","Length","Petal",1.3,4,5.1
"44","Length","Petal",1.6,3.3,5.9
"45","Length","Petal",1.9,4.2,5.7
"46","Length","Petal",1.4,4.2,5.2
"47","Length","Petal",1.6,4.2,5
"48","Length","Petal",1.4,4.3,5.2
"49","Length","Petal",1.5,3,5.4
"50","Length","Petal",1.4,4.1,5.1
"51","Length","Sepal",5.1,7,6.3
"52","Length","Sepal",4.9,6.4,5.8
"53","Length","Sepal",4.7,6.9,7.1
"54","Length","Sepal",4.6,5.5,6.3
"55","Length","Sepal",5,6.5,6.5
"56","Length","Sepal",5.4,5.7,7.6
"57","Length","Sepal",4.6,6.3,4.9
"58","Length","Sepal",5,4.9,7.3
"59","Length","Sepal",4.4,6.6,6.7
"60","Length","Sepal",4.9,5.2,7.2
"61","Length","Sepal",5.4,5,6.5
"62","Length","Sepal",4.8,5.9,6.4
"63","Length","Sepal",4.8,6,6.8
"64","Length","Sepal",4.3,6.1,5.7
"65","Length","Sepal",5.8,5.6,5.8
"66","Length","Sepal",5.7,6.7,6.4
"67","Length","Sepal",5.4,5.6,6.5
"68","Length","Sepal",5.1,5.8,7.7
"69","Length","Sepal",5.7,6.2,7.7
"70","Length","Sepal",5.1,5.6,6
"71","Length","Sepal",5.4,5.9,6.9
"72","Length","Sepal",5.1,6.1,5.6
"73","Length","Sepal",4.6,6.3,7.7
"74","Length","Sepal",5.1,6.1,6.3
"75","Length","Sepal",4.8,6.4,6.7
"76","Length","Sepal",5,6.6,7.2
"77","Length","Sepal",5,6.8,6.2
"78","Length","Sepal",5.2,6.7,6.1
"79","Length","Sepal",5.2,6,6.4
"80","Length","Sepal",4.7,5.7,7.2
"81","Length","Sepal",4.8,5.5,7.4
"82","Length","Sepal",5.4,5.5,7.9
"83","Length","Sepal",5.2,5.8,6.4
"84","Length","Sepal",5.5,6,6.3
"85","Length","Sepal",4.9,5.4,6.1
"86","Length","Sepal",5,6,7.7
"87","Length","Sepal",5.5,6.7,6.3
"88","Length","Sepal",4.9,6.3,6.4
"89","Length","Sepal",4.4,5.6,6
"90","Length","Sepal",5.1,5.5,6.9
"91","Length","Sepal",5,5.5,6.7
"92","Length","Sepal",4.5,6.1,6.9
"93","Length","Sepal",4.4,5.8,5.8
"94","Length","Sepal",5,5,6.8
"95","Length","Sepal",5.1,5.6,6.7
"96","Length","Sepal",4.8,5.7,6.7
"97","Length","Sepal",5.1,5.7,6.3
"98","Length","Sepal",4.6,6.2,6.5
"99","Length","Sepal",5.3,5.1,6.2
"100","Length","Sepal",5,5.7,5.9
"101","Width","Petal",0.2,1.4,2.5
"102","Width","Petal",0.2,1.5,1.9
"103","Width","Petal",0.2,1.5,2.1
"104","Width","Petal",0.2,1.3,1.8
"105","Width","Petal",0.2,1.5,2.2
"106","Width","Petal",0.4,1.3,2.1
"107","Width","Petal",0.3,1.6,1.7
"108","Width","Petal",0.2,1,1.8
"109","Width","Petal",0.2,1.3,1.8
"110","Width","Petal",0.1,1.4,2.5
"111","Width","Petal",0.2,1,2
"112","Width","Petal",0.2,1.5,1.9
"113","Width","Petal",0.1,1,2.1
"114","Width","Petal",0.1,1.4,2
"115","Width","Petal",0.2,1.3,2.4
"116","Width","Petal",0.4,1.4,2.3
"117","Width","Petal",0.4,1.5,1.8
"118","Width","Petal",0.3,1,2.2
"119","Width","Petal",0.3,1.5,2.3
"120","Width","Petal",0.3,1.1,1.5
"121","Width","Petal",0.2,1.8,2.3
"122","Width","Petal",0.4,1.3,2
"123","Width","Petal",0.2,1.5,2
"124","Width","Petal",0.5,1.2,1.8
"125","Width","Petal",0.2,1.3,2.1
"126","Width","Petal",0.2,1.4,1.8
"127","Width","Petal",0.4,1.4,1.8
"128","Width","Petal",0.2,1.7,1.8
"129","Width","Petal",0.2,1.5,2.1
"130","Width","Petal",0.2,1,1.6
"131","Width","Petal",0.2,1.1,1.9
"132","Width","Petal",0.4,1,2
"133","Width","Petal",0.1,1.2,2.2
"134","Width","Petal",0.2,1.6,1.5
"135","Width","Petal",0.2,1.5,1.4
"136","Width","Petal",0.2,1.6,2.3
"137","Width","Petal",0.2,1.5,2.4
"138","Width","Petal",0.1,1.3,1.8
"139","Width","Petal",0.2,1.3,1.8
"140","Width","Petal",0.2,1.3,2.1
"141","Width","Petal",0.3,1.2,2.4
"142","Width","Petal",0.3,1.4,2.3
"143","Width","Petal",0.2,1.2,1.9
"144","Width","Petal",0.6,1,2.3
"145","Width","Petal",0.4,1.3,2.5
"146","Width","Petal",0.3,1.2,2.3
"147","Width","Petal",0.2,1.3,1.9
"148","Width","Petal",0.2,1.3,2
"149","Width","Petal",0.2,1.1,2.3
"150","Width","Petal",0.2,1.3,1.8
"151","Width","Sepal",3.5,3.2,3.3
"152","Width","Sepal",3,3.2,2.7
"153","Width","Sepal",3.2,3.1,3
"154","Width","Sepal",3.1,2.3,2.9
"155","Width","Sepal",3.6,2.8,3
"156","Width","Sepal",3.9,2.8,3
"157","Width","Sepal",3.4,3.3,2.5
"158","Width","Sepal",3.4,2.4,2.9
"159","Width","Sepal",2.9,2.9,2.5
"160","Width","Sepal",3.1,2.7,3.6
"161","Width","Sepal",3.7,2,3.2
"162","Width","Sepal",3.4,3,2.7
"163","Width","Sepal",3,2.2,3
"164","Width","Sepal",3,2.9,2.5
"165","Width","Sepal",4,2.9,2.8
"166","Width","Sepal",4.4,3.1,3.2
"167","Width","Sepal",3.9,3,3
"168","Width","Sepal",3.5,2.7,3.8
"169","Width","Sepal",3.8,2.2,2.6
"170","Width","Sepal",3.8,2.5,2.2
"171","Width","Sepal",3.4,3.2,3.2
"172","Width","Sepal",3.7,2.8,2.8
"173","Width","Sepal",3.6,2.5,2.8
"174","Width","Sepal",3.3,2.8,2.7
"175","Width","Sepal",3.4,2.9,3.3
"176","Width","Sepal",3,3,3.2
"177","Width","Sepal",3.4,2.8,2.8
"178","Width","Sepal",3.5,3,3
"179","Width","Sepal",3.4,2.9,2.8
"180","Width","Sepal",3.2,2.6,3
"181","Width","Sepal",3.1,2.4,2.8
"182","Width","Sepal",3.4,2.4,3.8
"183","Width","Sepal",4.1,2.7,2.8
"184","Width","Sepal",4.2,2.7,2.8
"185","Width","Sepal",3.1,3,2.6
"186","Width","Sepal",3.2,3.4,3
"187","Width","Sepal",3.5,3.1,3.4
"188","Width","Sepal",3.6,2.3,3.1
"189","Width","Sepal",3,3,3
"190","Width","Sepal",3.4,2.5,3.1
"191","Width","Sepal",3.5,2.6,3.1
"192","Width","Sepal",2.3,3,3.1
"193","Width","Sepal",3.2,2.6,2.7
"194","Width","Sepal",3.5,2.3,3.2
"195","Width","Sepal",3.8,2.7,3.3
"196","Width","Sepal",3,3,3
"197","Width","Sepal",3.8,2.9,2.5
"198","Width","Sepal",3.2,2.9,3
"199","Width","Sepal",3.7,2.5,3.4
"200","Width","Sepal",3.3,2.8,3
